Kp:	0.1	Ki:	0	Kd:	0.4
cte	steer_value
0.3031	-0.02655	11.2736
0.2888	-0.02316	11.7995
0.2794	-0.02418	11.7812
0.2665	-0.02149	11.2014
0.26	-0.0234	11.2027
0.2565	-0.02425	11.5452
0.2615	-0.02815	11.4077
0.2838	-0.0373	11.7893
0.2536	-0.01328	11.2761
0.2603	-0.02871	11.7417
0.2784	-0.03508	11.3728
0.2968	-0.03704	11.7677
0.3146	-0.03858	11.2213
0.3264	-0.03736	11.3053
0.3495	-0.04419	11.3389
0.3608	-0.0406	11.3454
0.3773	-0.04433	11.6828
0.3881	-0.04313	11.7661
0.3987	-0.04411	11.7321
0.414	-0.04752	11.6341
0.4242	-0.0465	11.8492
0.4387	-0.04967	11.2899
0.453	-0.05102	11.7124
0.4621	-0.04985	11.7569
0.475	-0.05266	11.2922
0.4878	-0.0539	11.7304
0.4959	-0.05283	11.7517
0.5077	-0.05549	11.3473
0.519	-0.05642	11.7443
0.5295	-0.05715	11.2369
0.5362	-0.0563	11.2255
0.5456	-0.05832	11.8197
0.5544	-0.05896	11.3939
0.5627	-0.05959	11.8052
0.5678	-0.05882	11.8117
0.5749	-0.06033	11.3074
0.5814	-0.06074	11.7668
0.5853	-0.06009	11.7837
0.5905	-0.06113	11.2908
0.5936	-0.0606	11.2349
0.598	-0.06156	11.7993
0.6018	-0.0617	11.2781
0.6052	-0.06188	11.8056
0.6078	-0.06182	11.3182
0.6097	-0.06173	11.7932
0.6108	-0.06152	11.3203
0.6111	-0.06123	11.2501
0.611	-0.06106	11.766
0.6103	-0.06075	11.3314
0.609	-0.06038	11.771
0.6073	-0.06005	11.3544
0.6048	-0.05948	11.7955
0.6029	-0.05953	11.7172
0.5994	-0.05854	11.3089
0.5955	-0.05799	11.8301
0.5925	-0.05805	11.3854
0.5923	-0.05915	11.2721
0.5949	-0.06053	11.8215
0.5982	-0.06114	11.7188
0.6064	-0.06392	11.3141
0.6139	-0.06439	11.4265
0.625	-0.06694	11.7655
0.6352	-0.0676	11.2917
0.6415	-0.06667	11.3009
0.6502	-0.0685	11.7815
0.6583	-0.06907	11.378
0.6657	-0.06953	11.7333
0.6702	-0.06882	11.7795
0.6762	-0.07002	11.3073
0.6815	-0.07027	11.7788
0.6845	-0.06965	11.8191
0.6884	-0.0704	11.247
0.6915	-0.07039	11.7847
0.6937	-0.07025	11.292
0.6947	-0.06987	11.3169
0.6955	-0.06987	11.8017
0.6955	-0.06955	11.2675
0.6952	-0.0694	11.2698
0.6942	-0.06902	11.7315
0.6925	-0.06857	11.3176
0.6899	-0.06795	11.7828
0.6868	-0.06744	11.2678
0.6842	-0.06738	11.3475
0.678	-0.06532	11.3551
0.6745	-0.06605	11.3168
0.6688	-0.0646	11.7564
